Time, V_g(t), V_g(0), V_g(t)/V_g(0)
0.000250, 0.026122, 0.026122, 100.000000
0.000500, 0.026122, 0.026122, 100.000260
0.000750, 0.026122, 0.026122, 100.000267
0.001000, 0.026122, 0.026122, 100.000272
0.001250, 0.026122, 0.026122, 100.000277
0.001500, 0.026122, 0.026122, 100.000282
0.001750, 0.026122, 0.026122, 100.000287
0.002000, 0.026122, 0.026122, 100.000291
0.002250, 0.026122, 0.026122, 100.000296
0.002500, 0.026122, 0.026122, 100.000300
0.002750, 0.026122, 0.026122, 100.000304
0.003000, 0.026122, 0.026122, 100.000309
0.003250, 0.026122, 0.026122, 100.000313
0.003500, 0.026122, 0.026122, 100.000317
0.003750, 0.026122, 0.026122, 100.000321
0.004000, 0.026122, 0.026122, 100.000326
0.004250, 0.026122, 0.026122, 100.000330
0.004500, 0.026122, 0.026122, 100.000334
0.004750, 0.026122, 0.026122, 100.000338
0.005000, 0.026122, 0.026122, 100.000342
0.005250, 0.026122, 0.026122, 100.000346
0.005500, 0.026122, 0.026122, 100.000350
0.005750, 0.026122, 0.026122, 100.000354
0.006000, 0.026122, 0.026122, 100.000358
0.006250, 0.026122, 0.026122, 100.000362
0.006500, 0.026122, 0.026122, 100.000366
0.006750, 0.026122, 0.026122, 100.000370
0.007000, 0.026122, 0.026122, 100.000374
0.007250, 0.026122, 0.026122, 100.000378
0.007500, 0.026122, 0.026122, 100.000381
0.007750, 0.026122, 0.026122, 100.000385
0.008000, 0.026122, 0.026122, 100.000389
0.008250, 0.026122, 0.026122, 100.000393
0.008500, 0.026122, 0.026122, 100.000397
0.008750, 0.026122, 0.026122, 100.000401
0.009000, 0.026122, 0.026122, 100.000405
0.009250, 0.026122, 0.026122, 100.000409
0.009500, 0.026122, 0.026122, 100.000412
0.009750, 0.026122, 0.026122, 100.000416
0.010000, 0.026122, 0.026122, 100.000420
0.010250, 0.026122, 0.026122, 100.000424
0.010500, 0.026122, 0.026122, 100.000428
0.010750, 0.026122, 0.026122, 100.000432
0.011000, 0.026122, 0.026122, 100.000435
0.011250, 0.026122, 0.026122, 100.000439
0.011500, 0.026122, 0.026122, 100.000443
0.011750, 0.026122, 0.026122, 100.000447
0.012000, 0.026122, 0.026122, 100.000450
0.012250, 0.026122, 0.026122, 100.000454
0.012500, 0.026122, 0.026122, 100.000458
0.012750, 0.026122, 0.026122, 100.000462
0.013000, 0.026122, 0.026122, 100.000465
0.013250, 0.026122, 0.026122, 100.000469
0.013500, 0.026122, 0.026122, 100.000473
0.013750, 0.026122, 0.026122, 100.000476
0.014000, 0.026122, 0.026122, 100.000480
0.014250, 0.026122, 0.026122, 100.000483
0.014500, 0.026122, 0.026122, 100.000487
0.014750, 0.026122, 0.026122, 100.000491
0.015000, 0.026122, 0.026122, 100.000494
0.015250, 0.026122, 0.026122, 100.000498
0.015500, 0.026122, 0.026122, 100.000501
0.015750, 0.026122, 0.026122, 100.000505
0.016000, 0.026122, 0.026122, 100.000508
0.016250, 0.026122, 0.026122, 100.000512
0.016500, 0.026122, 0.026122, 100.000515
0.016750, 0.026122, 0.026122, 100.000519
0.017000, 0.026122, 0.026122, 100.000522
0.017250, 0.026122, 0.026122, 100.000526
0.017500, 0.026122, 0.026122, 100.000529
0.017750, 0.026122, 0.026122, 100.000532
0.018000, 0.026122, 0.026122, 100.000536
0.018250, 0.026122, 0.026122, 100.000539
0.018500, 0.026122, 0.026122, 100.000543
0.018750, 0.026122, 0.026122, 100.000546
0.019000, 0.026122, 0.026122, 100.000549
0.019250, 0.026122, 0.026122, 100.000552
0.019500, 0.026122, 0.026122, 100.000556
0.019750, 0.026122, 0.026122, 100.000559
0.020000, 0.026122, 0.026122, 100.000562
0.020250, 0.026122, 0.026122, 100.000565
0.020500, 0.026122, 0.026122, 100.000568
0.020750, 0.026122, 0.026122, 100.000572
0.021000, 0.026122, 0.026122, 100.000575
0.021250, 0.026122, 0.026122, 100.000578
0.021500, 0.026122, 0.026122, 100.000581
0.021750, 0.026122, 0.026122, 100.000584
0.022000, 0.026122, 0.026122, 100.000588
0.022250, 0.026122, 0.026122, 100.000591
0.022500, 0.026122, 0.026122, 100.000594
0.022750, 0.026122, 0.026122, 100.000597
0.023000, 0.026122, 0.026122, 100.000600
0.023250, 0.026122, 0.026122, 100.000603
0.023500, 0.026122, 0.026122, 100.000606
0.023750, 0.026122, 0.026122, 100.000609
0.024000, 0.026122, 0.026122, 100.000613
0.024250, 0.026122, 0.026122, 100.000616
0.024500, 0.026122, 0.026122, 100.000619
0.024750, 0.026122, 0.026122, 100.000622
0.025000, 0.026122, 0.026122, 100.000625
0.025250, 0.026122, 0.026122, 100.000628
0.025500, 0.026122, 0.026122, 100.000631
0.025750, 0.026122, 0.026122, 100.000634
0.026000, 0.026122, 0.026122, 100.000637
0.026250, 0.026122, 0.026122, 100.000640
0.026500, 0.026122, 0.026122, 100.000643
